nickname,season,matches_played,wins,losses,winrate,avg_finish_ms,best_finish_ms,consistency_score,forfeit_rate,elo_at_season_end
autoqualler,3,99,47,52,0.47474747474747475,655612.2553191489,108984.0,0.6353322821134728,0.31313131313131315,1768.0
7rowl,4,118,88,30,0.7457627118644068,605624.5909090909,151470.0,0.7839757221159394,0.1864406779661017,2273.0
Ancoboyy,4,126,65,61,0.5158730158730159,605256.4153846154,3754.0,0.7569769424468821,0.373015873015873,2179.0
dandannyboy,4,91,43,48,0.4725274725274725,674817.023255814,21904.0,0.7324322602126574,0.2967032967032967,1932.0
doogile,4,107,71,36,0.6635514018691588,563743.2676056338,64994.0,0.7151900181455362,0.21495327102803738,2385.0
AutomattPLUS,4,60,44,16,0.7333333333333333,670263.1363636364,165039.0,0.7224306033517469,0.2,2066.0
hackingnoises,4,99,55,44,0.5555555555555556,565112.0909090909,23485.0,0.6752344471792743,0.2222222222222222,2480.0
Hinart,4,93,56,37,0.6021505376344086,581848.9821428572,72358.0,0.6384545407079036,0.3010752688172043,1846.0
lowk3y_,4,105,74,31,0.7047619047619048,613331.8918918918,102562.0,0.7817751142078315,0.19047619047619047,2387.0
paplerr,4,98,56,42,0.5714285714285714,644742.9642857143,26794.0,0.6742093700271831,0.29591836734693877,2072.0
priffie,4,81,45,36,0.5555555555555556,642602.8,338167.0,0.7628250290715168,0.18518518518518517,
silverrruns,4,132,69,63,0.5227272727272727,636582.1594202898,66754.0,0.716811471012734,0.11363636363636363,2260.0
ANJOUU,4,79,41,38,0.5189873417721519,597560.4146341464,11744.0,0.6659640500034537,0.2911392405063291,2231.0
bing_pigs,4,166,83,83,0.5,664723.9277108434,123293.0,0.70612256750702,0.19879518072289157,2409.0
Cube1337x,4,90,51,39,0.5666666666666667,629503.5098039216,97048.0,0.6921621975128042,0.17777777777777778,1846.0
v_strid,4,134,65,69,0.48507462686567165,660971.3384615384,13974.0,0.7239322009708089,0.19402985074626866,2364.0
7rowl,5,106,70,36,0.660377358490566,603151.4857142858,185975.0,0.778414770039417,0.24528301886792453,2273.0
Ancoboyy,5,97,33,64,0.3402061855670103,588637.0,56935.0,0.7280111031377492,0.6701030927835051,2179.0
BeefSalad,5,146,75,71,0.5136986301369864,636772.2533333333,216403.0,0.8208691348713872,0.14383561643835616,2097.0
bing_pigs,5,129,84,45,0.6511627906976745,568133.6666666666,3459.0,0.6392068403924105,0.3643410852713178,2409.0
doogile,5,100,68,32,0.68,580915.3088235294,48302.0,0.7444873648432472,0.11,2385.0
AutomattPLUS,5,81,52,29,0.6419753086419753,623154.7884615385,214259.0,0.7103579385866947,0.19753086419753085,2066.0
hackingnoises,5,68,39,29,0.5735294117647058,633569.3076923077,155166.0,0.7242317158668472,0.1323529411764706,2480.0
